Household_ID,State,Urban,Household_Size,Internet_Access,Online_Purchase,Online_Food,Online_Medicine,Online_Consumables,Online_Electronics,Sample_Weight
1,Andhra Pradesh,0,3,0,0,0,0,0,0,116.87491292803867
2,Andhra Pradesh,1,3,1,1,0,1,0,0,50.11681487615215
3,Andhra Pradesh,0,5,0,1,1,0,1,1,196.06332782621888
4,Andhra Pradesh,1,1,1,1,0,0,0,0,117.57488779543145
5,Andhra Pradesh,1,6,1,1,1,1,1,0,141.49949866739314
6,Andhra Pradesh,0,3,1,1,0,0,1,0,54.69699386833379
7,Andhra Pradesh,0,4,1,0,0,0,0,0,159.09079937846315
8,Andhra Pradesh,1,3,1,0,0,0,0,0,176.6800773017227
9,Andhra Pradesh,0,4,0,0,0,0,0,0,141.0551371530027
10,Andhra Pradesh,1,2,1,1,1,1,1,1,79.82636061332077
11,Andhra Pradesh,0,5,0,0,0,0,0,0,147.66155382529166
12,Andhra Pradesh,0,6,0,0,0,0,0,0,105.62273782973995
13,Andhra Pradesh,0,5,0,0,0,0,0,0,134.18651387715516
14,Andhra Pradesh,1,7,0,0,0,0,0,0,85.39773796234337
15,Andhra Pradesh,1,1,1,1,1,1,0,0,134.49133579645755
16,Andhra Pradesh,0,2,0,0,0,0,0,0,80.45918371021541
17,Andhra Pradesh,0,4,0,0,0,0,0,0,143.653107220069
18,Andhra Pradesh,1,1,1,1,1,0,0,1,103.44467571154624
19,Andhra Pradesh,0,3,0,1,1,1,1,0,122.72449570384748
20,Andhra Pradesh,0,3,1,1,1,0,0,1,88.0873120901517
21,Andhra Pradesh,1,4,1,1,0,1,0,0,54.95760993508226
22,Andhra Pradesh,1,4,1,0,0,0,0,0,117.16747468596374
23,Andhra Pradesh,0,4,1,1,1,0,1,0,109.82366636668296
24,Andhra Pradesh,0,5,1,1,0,0,1,1,156.67242986570267
25,Andhra Pradesh,0,3,1,0,0,0,0,0,109.63580316312834
26,Andhra Pradesh,0,6,0,0,0,0,0,0,81.36074311065705
27,Andhra Pradesh,0,5,1,1,0,0,1,0,194.81290269331905
28,Andhra Pradesh,0,6,1,1,0,0,0,0,183.16551481414396
29,Andhra Pradesh,0,7,0,0,0,0,0,0,137.1029932154682
30,Andhra Pradesh,1,6,0,0,0,0,0,0,95.80457905165902
31,Andhra Pradesh,1,3,0,0,0,0,0,0,52.71130454232813
32,Andhra Pradesh,1,2,1,1,0,1,0,0,145.4498927278843
33,Andhra Pradesh,1,3,0,0,0,0,0,0,185.9148181577831
34,Andhra Pradesh,1,3,1,0,0,0,0,0,179.62513476078547
35,Andhra Pradesh,1,3,1,0,0,0,0,0,56.54056576316506
36,Andhra Pradesh,0,4,1,0,0,0,0,0,162.15781608461208
37,Andhra Pradesh,0,3,0,0,0,0,0,0,197.04973755740684
38,Andhra Pradesh,1,2,1,1,1,1,0,0,189.50252522162478
